identity,emotion,sentence_id,vc_system,lipsync_system,output_video,lse_c,lse_d,avsu,avsm,lmd,ssim,cpbd,wavlm_sim,mel_sim,wer
Maisa,emotional,c02,xtts_v2,wav2lip,data/generated/xtts_v2/wav2lip/Maisa_emotional_c02.mp4,0.37855288752739824,0.5050575786079571,0.12497279803168554,0.1578648755185667,3.2761803927945317,0.9187018550713398,157.76836267703393,0.8979202508926392,0.003330368548631668,1.0
Selene,neutral,c01,xtts_v2,wav2lip,data/generated/xtts_v2/wav2lip/Selene_neutral_c01.mp4,0.3370756118180812,0.5411715107650203,0.21249010519024059,0.13592070601239173,3.2040101470506746,0.9386429941142436,89.56051633445195,0.8836159706115723,0.004935263190418482,1.0
Selene,neutral,c02,xtts_v2,wav2lip,data/generated/xtts_v2/wav2lip/Selene_neutral_c02.mp4,0.28653032359479497,0.6576036895321695,0.09789830334233954,0.10559926148055948,3.2043423714883956,0.9382073371399535,76.50985902982086,0.8469751477241516,0.026194702833890915,1.0
Selene,emotional,c01,xtts_v2,wav2lip,data/generated/xtts_v2/wav2lip/Selene_emotional_c01.mp4,0.31723189339277047,0.597874879454086,-0.14595545167475896,0.023549354751003032,4.11433596962842,0.9319222518241914,92.05286084144058,0.921355128288269,0.019747842103242874,0.0
Selene,emotional,c02,xtts_v2,wav2lip,data/generated/xtts_v2/wav2lip/Selene_emotional_c02.mp4,0.25324965150073175,0.7076931179801853,0.07630986335834038,0.2020953677703039,3.8447056524682615,0.934041752702637,104.66530236022913,0.8714067935943604,0.000758294714614749,1.0
George,neutral,c01,knn_vc,wav2lip,data/generated/knn_vc/wav2lip/George_neutral_c01.mp4,0.5392913413637045,0.3570312243269257,0.06739062280876107,0.0263790484704413,3.7235972827817863,0.9322588173980906,36.36078480250066,0.9176024198532104,0.6387109160423279,nan
George,neutral,c02,knn_vc,wav2lip,data/generated/knn_vc/wav2lip/George_neutral_c02.mp4,0.38557071016707,0.5462273918582576,-0.0060914066972867125,0.011073576294314096,3.296766461500051,0.9329485934465518,36.44367367855479,0.9740856289863586,0.4136650264263153,0.14285714285714285
George,emotional,c01,knn_vc,wav2lip,data/generated/knn_vc/wav2lip/George_emotional_c01.mp4,0.5757253051558062,0.32479054308294386,0.09335165815124453,0.03479614640757979,6.267115461698782,0.9233306697063066,33.22790998813902,0.7180199027061462,0.3455435037612915,0.0
George,emotional,c02,knn_vc,wav2lip,data/generated/knn_vc/wav2lip/George_emotional_c02.mp4,0.7274152094676305,0.18932461155400715,0.15787462419512777,0.33042519175633717,5.366525321788563,0.9208681053949843,34.368409307741246,0.9087402820587158,0.1526288241147995,0.16666666666666666
Jordi,neutral,c01,knn_vc,wav2lip,data/generated/knn_vc/wav2lip/Jordi_neutral_c01.mp4,0.23393287154672388,0.6795195652795051,0.07123107411939009,0.016068075830309267,3.7786573356126567,0.896672862759092,146.7764993468491,0.9675620198249817,0.19342970848083496,0.0
